id;track
ce258219-eb72-40d9-9358-e57b92e33978;311.000000,5.000000,150.000000,60.000000|311.990123,5.990123,150.000000,60.000000|312.533080,7.068895,150.000000,60.000000|311.879112,8.489796,150.000000,60.000000|311.418813,9.897809,150.000000,60.000000|311.559867,11.266343,150.000000,60.000000|311.684563,12.117059,150.000000,60.000000|312.189951,13.021538,150.000000,60.000000|312.160610,14.728057,150.000000,60.000000|312.136720,15.873155,150.000000,60.000000|312.117722,17.309573,150.000000,60.000000|312.102712,18.312914,150.000000,60.000000|312.090848,19.308942,150.000000,60.000000|312.081440,20.017662,150.000000,60.000000|312.073950,20.783847,150.000000,60.000000|312.067964,21.334992,150.000000,60.000000|312.063162,22.221438,150.000000,60.000000|312.059297,22.887511,150.000000,60.000000|311.817425,23.613642,150.000000,60.000000|311.613665,24.155870,150.000000,60.000000|311.442923,24.776306,150.000000,60.000000|311.301119,25.236178,150.000000,60.000000|311.184837,26.468260,150.000000,60.000000|310.865415,27.915833,150.000000,60.000000|310.820368,29.545443,150.000000,60.000000|310.791603,31.551107,150.000000,60.000000|310.776304,34.100282,150.000000,60.000000|310.548207,36.888438,150.000000,60.000000|310.356969,39.645067,150.000000,60.000000|309.752573,42.356390,150.000000,60.000000|309.011564,46.800960,150.000000,60.000000|308.604180,50.960009,150.000000,60.000000|308.272038,57.071751,150.000000,60.000000|308.007700,59.948392,150.000000,60.000000|307.579951,60.396569,150.000000,60.000000|307.232684,63.191003,150.000000,60.000000|306.957709,62.479416,150.000000,60.000000|306.970112,65.850587,150.000000,60.000000|306.786555,68.586649,150.000000,60.000000|306.651277,70.752407,150.000000,60.000000|306.557301,71.520481,150.000000,60.000000|306.498046,75.760914,150.000000,60.000000|306.467423,78.589001,150.000000,60.000000|306.683314,81.943346,150.000000,60.000000|306.665931,83.518695,150.000000,60.000000|307.109895,88.665363,150.000000,60.000000|306.839024,88.682182,150.000000,60.000000|306.829643,92.667961,150.000000,60.000000|306.605012,87.649457,150.000000,60.000000|306.638133,90.373680,150.000000,60.000000|306.898692,94.156565,150.000000,60.000000|306.686566,95.724902,150.000000,60.000000|306.503709,99.129373,150.000000,60.000000|306.348737,99.678041,150.000000,60.000000|305.996405,102.849307,150.000000,60.000000|306.142699,106.547382,150.000000,60.000000|306.281731,108.680809,150.000000,60.000000|306.411203,110.319698,150.000000,60.000000|306.306212,111.751693,150.000000,60.000000|306.217281,112.787443,150.000000,60.000000|306.143332,116.166907,150.000000,60.000000|306.306491,116.024937,150.000000,60.000000|306.454001,115.689618,150.000000,60.000000|306.808588,117.894253,150.000000,60.000000|306.895416,120.113799,150.000000,60.000000|306.967041,121.891960,150.000000,60.000000|307.248225,124.617517,150.000000,60.000000|307.265651,127.277623,150.000000,60.000000|307.049548,127.634407,150.000000,60.000000|307.300140,131.774818,150.000000,60.000000|307.739119,131.202531,150.000000,60.000000|308.116835,130.499814,150.000000,60.000000|308.436322,133.736599,150.000000,60.000000|308.701579,132.407221,150.000000,60.000000|308.693850,133.763218,150.000000,60.000000|308.892912,136.387934,150.000000,60.000000|309.051768,137.440688,150.000000,60.000000|309.174921,138.218884,150.000000,60.000000|309.043484,142.782887,150.000000,60.000000|309.583388,146.868303,150.000000,60.000000|310.043876,150.271646,150.000000,60.000000|309.536151,151.932370,150.000000,60.000000|309.965119,155.626122,150.000000,60.000000|309.435137,158.870909,150.000000,60.000000|310.296443,163.044049,150.000000,60.000000|310.596052,166.900937,150.000000,60.000000|309.947816,172.246957,150.000000,60.000000|310.256051,175.306497,150.000000,60.000000|310.517653,177.675174,150.000000,60.000000|309.618723,176.759869,150.000000,60.000000|310.160122,179.013056,150.000000,60.000000|310.633707,180.735584,150.000000,60.000000|311.041271,181.997419,150.000000,60.000000|311.386070,182.865891,150.000000,60.000000|311.672400,183.404380,150.000000,60.000000|311.905249,183.671415,150.000000,60.000000|312.089996,183.720106,150.000000,60.000000|312.232178,183.597854,150.000000,60.000000|312.337294,183.346293,150.000000,60.000000|312.410658,183.001405,150.000000,60.000000|312.457296,182.593762,150.000000,60.000000|312.481863,182.148879,150.000000,60.000000|312.488595,181.687620,150.000000,60.000000|312.481288,181.226653,150.000000,60.000000|312.463283,180.778909,150.000000,60.000000|312.437478,180.354063,150.000000,60.000000|312.406343,179.958980,150.000000,60.000000|312.371947,179.598153,150.000000,60.000000|312.335988,179.274104,150.000000,60.000000|312.299830,178.987756,150.000000,60.000000|312.264536,178.738762,150.000000,60.000000|312.230909,178.525800,150.000000,60.000000
c92ddbb4-2b85-4637-b4c2-6a7c9da9d20f;396.000000,5.000000,150.000000,60.000000|396.990123,5.990123,150.000000,60.000000|397.533080,7.068895,150.000000,60.000000|396.879112,8.489796,150.000000,60.000000|396.418813,9.897809,150.000000,60.000000|396.559867,11.266343,150.000000,60.000000|396.684563,12.117059,150.000000,60.000000|397.189951,13.021538,150.000000,60.000000|397.160610,14.728057,150.000000,60.000000|397.136720,15.873155,150.000000,60.000000|397.117722,17.309573,150.000000,60.000000|397.102712,18.312914,150.000000,60.000000|397.090848,19.308942,150.000000,60.000000|397.081440,20.017662,150.000000,60.000000|397.073950,20.783847,150.000000,60.000000|397.067964,21.334992,150.000000,60.000000|397.063162,22.221438,150.000000,60.000000|397.059297,22.887511,150.000000,60.000000|396.817425,23.613642,150.000000,60.000000|396.613665,24.155870,150.000000,60.000000|396.442923,24.776306,150.000000,60.000000|396.301119,25.236178,150.000000,60.000000|396.184837,26.468260,150.000000,60.000000|395.865415,27.915833,150.000000,60.000000|395.820368,29.545443,150.000000,60.000000|395.791603,31.551107,150.000000,60.000000|395.776304,34.100282,150.000000,60.000000|395.548207,36.888438,150.000000,60.000000|395.356969,39.645067,150.000000,60.000000|394.752573,42.356390,150.000000,60.000000|394.011564,46.800960,150.000000,60.000000|393.604180,50.960009,150.000000,60.000000|393.272038,57.071751,150.000000,60.000000|393.007700,59.948392,150.000000,60.000000|392.579951,60.396569,150.000000,60.000000|392.232684,63.191003,150.000000,60.000000|391.957709,62.479416,150.000000,60.000000|391.970112,65.850587,150.000000,60.000000|391.786555,68.586649,150.000000,60.000000|391.651277,70.752407,150.000000,60.000000|391.557301,71.520481,150.000000,60.000000|391.498046,75.760914,150.000000,60.000000|391.467423,78.589001,150.000000,60.000000|391.683314,81.943346,150.000000,60.000000|391.665931,83.518695,150.000000,60.000000|392.109895,88.665363,150.000000,60.000000|391.839024,88.682182,150.000000,60.000000|391.829643,92.667961,150.000000,60.000000|391.605012,87.649457,150.000000,60.000000|391.638133,90.373680,150.000000,60.000000|391.898692,94.156565,150.000000,60.000000|391.686566,95.724902,150.000000,60.000000|391.503709,99.129373,150.000000,60.000000|391.348737,99.678041,150.000000,60.000000|390.996405,102.849307,150.000000,60.000000|391.142699,106.547382,150.000000,60.000000|391.281731,108.680809,150.000000,60.000000|391.411203,110.319698,150.000000,60.000000|391.306212,111.751693,150.000000,60.000000|391.217281,112.787443,150.000000,60.000000|391.143332,116.166907,150.000000,60.000000|391.306491,116.024937,150.000000,60.000000|391.454001,115.689618,150.000000,60.000000|391.808588,117.894253,150.000000,60.000000|391.895416,120.113799,150.000000,60.000000|391.967041,121.891960,150.000000,60.000000|392.248225,124.617517,150.000000,60.000000|392.265651,127.277623,150.000000,60.000000|392.049548,127.634407,150.000000,60.000000|392.300140,131.774818,150.000000,60.000000|392.739119,131.202531,150.000000,60.000000|393.116835,130.499814,150.000000,60.000000|393.436322,133.736599,150.000000,60.000000|393.701579,132.407221,150.000000,60.000000|393.693850,133.763218,150.000000,60.000000|393.892912,136.387934,150.000000,60.000000|394.051768,137.440688,150.000000,60.000000|394.174921,138.218884,150.000000,60.000000|394.043484,142.782887,150.000000,60.000000|394.583388,146.868303,150.000000,60.000000|395.043876,150.271646,150.000000,60.000000|394.536151,151.932370,150.000000,60.000000|394.965119,155.626122,150.000000,60.000000|394.435137,158.870909,150.000000,60.000000|395.296443,163.044049,150.000000,60.000000|395.596052,166.900937,150.000000,60.000000|394.947816,172.246957,150.000000,60.000000|395.256051,175.306497,150.000000,60.000000|395.517653,177.675174,150.000000,60.000000|394.618723,176.759869,150.000000,60.000000|395.160122,179.013056,150.000000,60.000000|395.633707,180.735584,150.000000,60.000000|396.041271,181.997419,150.000000,60.000000|396.386070,182.865891,150.000000,60.000000|396.672400,183.404380,150.000000,60.000000|396.905249,183.671415,150.000000,60.000000|397.089996,183.720106,150.000000,60.000000|397.232178,183.597854,150.000000,60.000000|397.337294,183.346293,150.000000,60.000000|397.410658,183.001405,150.000000,60.000000|397.457296,182.593762,150.000000,60.000000|397.481863,182.148879,150.000000,60.000000|397.488595,181.687620,150.000000,60.000000|397.481288,181.226653,150.000000,60.000000|397.463283,180.778909,150.000000,60.000000|397.437478,180.354063,150.000000,60.000000|397.406343,179.958980,150.000000,60.000000|397.371947,179.598153,150.000000,60.000000|397.335988,179.274104,150.000000,60.000000|397.299830,178.987756,150.000000,60.000000|397.264536,178.738762,150.000000,60.000000|397.230909,178.525800,150.000000,60.000000
3b15c10c-ccfc-463b-87b8-1d3286631dd6;226.000000,5.000000,150.000000,60.000000|226.990123,5.990123,150.000000,60.000000|227.533080,7.068895,150.000000,60.000000|226.879112,8.489796,150.000000,60.000000|226.418813,9.897809,150.000000,60.000000|226.559867,11.266343,150.000000,60.000000|226.684563,12.117059,150.000000,60.000000|227.189951,13.021538,150.000000,60.000000|227.160610,14.728057,150.000000,60.000000|227.136720,15.873155,150.000000,60.000000|227.117722,17.309573,150.000000,60.000000|227.102712,18.312914,150.000000,60.000000|227.090848,19.308942,150.000000,60.000000|227.081440,20.017662,150.000000,60.000000|227.073950,20.783847,150.000000,60.000000|227.067964,21.334992,150.000000,60.000000|227.063162,22.221438,150.000000,60.000000|227.059297,22.887511,150.000000,60.000000|226.817425,23.613642,150.000000,60.000000|226.613665,24.155870,150.000000,60.000000|226.442923,24.776306,150.000000,60.000000|226.301119,25.236178,150.000000,60.000000|226.184837,26.468260,150.000000,60.000000|225.865415,27.915833,150.000000,60.000000|225.820368,29.545443,150.000000,60.000000|225.791603,31.551107,150.000000,60.000000|225.776304,34.100282,150.000000,60.000000|225.548207,36.888438,150.000000,60.000000|225.356969,39.645067,150.000000,60.000000|224.752573,42.356390,150.000000,60.000000|224.011564,46.800960,150.000000,60.000000|223.604180,50.960009,150.000000,60.000000|223.272038,57.071751,150.000000,60.000000|223.007700,59.948392,150.000000,60.000000|222.579951,60.396569,150.000000,60.000000|222.232684,63.191003,150.000000,60.000000|221.957709,62.479416,150.000000,60.000000|221.970112,65.850587,150.000000,60.000000|221.786555,68.586649,150.000000,60.000000|221.651277,70.752407,150.000000,60.000000|221.557301,71.520481,150.000000,60.000000|221.498046,75.760914,150.000000,60.000000|221.467423,78.589001,150.000000,60.000000|221.683314,81.943346,150.000000,60.000000|221.665931,83.518695,150.000000,60.000000|222.109895,88.665363,150.000000,60.000000|221.839024,88.682182,150.000000,60.000000|221.829643,92.667961,150.000000,60.000000|221.605012,87.649457,150.000000,60.000000|221.638133,90.373680,150.000000,60.000000|221.898692,94.156565,150.000000,60.000000|221.686566,95.724902,150.000000,60.000000|221.503709,99.129373,150.000000,60.000000|221.348737,99.678041,150.000000,60.000000|220.996405,102.849307,150.000000,60.000000|221.142699,106.547382,150.000000,60.000000|221.281731,108.680809,150.000000,60.000000|221.411203,110.319698,150.000000,60.000000|221.306212,111.751693,150.000000,60.000000|221.217281,112.787443,150.000000,60.000000|221.143332,116.166907,150.000000,60.000000|221.306491,116.024937,150.000000,60.000000|221.454001,115.689618,150.000000,60.000000|221.808588,117.894253,150.000000,60.000000|221.895416,120.113799,150.000000,60.000000|221.967041,121.891960,150.000000,60.000000|222.248225,124.617517,150.000000,60.000000|222.265651,127.277623,150.000000,60.000000|222.049548,127.634407,150.000000,60.000000|222.300140,131.774818,150.000000,60.000000|222.739119,131.202531,150.000000,60.000000|223.116835,130.499814,150.000000,60.000000|223.436322,133.736599,150.000000,60.000000|223.701579,132.407221,150.000000,60.000000|223.693850,133.763218,150.000000,60.000000|223.892912,136.387934,150.000000,60.000000|224.051768,137.440688,150.000000,60.000000|224.174921,138.218884,150.000000,60.000000|224.043484,142.782887,150.000000,60.000000|224.583388,146.868303,150.000000,60.000000|225.043876,150.271646,150.000000,60.000000|224.536151,151.932370,150.000000,60.000000|224.965119,155.626122,150.000000,60.000000|224.435137,158.870909,150.000000,60.000000|225.296443,163.044049,150.000000,60.000000|225.596052,166.900937,150.000000,60.000000|224.947816,172.246957,150.000000,60.000000|225.256051,175.306497,150.000000,60.000000|225.517653,177.675174,150.000000,60.000000|224.618723,176.759869,150.000000,60.000000|225.160122,179.013056,150.000000,60.000000|225.633707,180.735584,150.000000,60.000000|226.041271,181.997419,150.000000,60.000000|226.386070,182.865891,150.000000,60.000000|226.672400,183.404380,150.000000,60.000000|226.905249,183.671415,150.000000,60.000000|227.089996,183.720106,150.000000,60.000000|227.232178,183.597854,150.000000,60.000000|227.337294,183.346293,150.000000,60.000000|227.410658,183.001405,150.000000,60.000000|227.457296,182.593762,150.000000,60.000000|227.481863,182.148879,150.000000,60.000000|227.488595,181.687620,150.000000,60.000000|227.481288,181.226653,150.000000,60.000000|227.463283,180.778909,150.000000,60.000000|227.437478,180.354063,150.000000,60.000000|227.406343,179.958980,150.000000,60.000000|227.371947,179.598153,150.000000,60.000000|227.335988,179.274104,150.000000,60.000000|227.299830,178.987756,150.000000,60.000000|227.264536,178.738762,150.000000,60.000000|227.230909,178.525800,150.000000,60.000000
