id;track
07bb5f3e-5127-41cd-9a61-9066365123b6;464.500000,268.500000|464.004951,273.450839|464.003409,278.047178|464.231834,286.375101|464.163029,294.036129|465.898228,303.515295|467.308576,314.510710|466.592825,329.468991|465.856088,340.810960|466.565573,349.865121|468.071725,359.728297|468.853763,368.567220|468.824900,379.065527|468.775513,388.642508|468.307452,398.342771|468.560576,408.006670|468.624402,415.758029|469.025923,424.183767|469.702073,432.445911|470.252402,439.873029|471.042154,446.143861|471.804228,451.789405|473.106757,456.011785
18fb8a9a-9f46-4d27-baf1-d0d87a7a2a0a;183.500000,141.000000|184.985429,145.951265|185.804908,148.139746|183.909870,149.858524|181.237130,149.860995|178.739558,148.632618|176.502055,165.864176|172.455590,177.026363|167.681778,184.609718|139.096183,228.526422|134.583244,250.563356|130.262443,263.629323|127.257799,271.988906|124.500562,278.899869
ca323213-b8b2-4c97-820a-eefe99f2b534;432.500000,29.000000|433.985274,27.019708|433.728946,27.812888|434.065831,28.415601|434.527918,29.492961|435.068729,30.890473|435.203323,32.010846|434.861183,32.708614|434.990593,33.895257|435.356651,40.197052|435.688983,43.558011|435.744056,45.451130|435.782462,47.075324|435.948926,48.095636|435.806655,48.680158
ccabe7b3-c92a-4408-bfe7-dcb3b9cefdcf;772.000000,224.500000|772.990670,224.500190|772.196085,225.580312|775.248125,226.317390|776.447829,241.682931|778.969327,252.730508|781.681590,260.428914|783.212859,266.120212|785.104267,268.604908|785.801112,271.560065|785.375033,272.537510|786.396842,273.770144|786.215411,275.058503
