id;track
d3744af8-46ec-459f-8c95-3aaad90994ca;226.000000,5.000000,150.000000,60.000000|226.990193,5.990193,150.000000,60.000000|227.535334,7.071895,150.000000,60.000000|226.881273,8.495628,150.000000,60.000000|226.421152,9.903898,150.000000,60.000000|226.562238,11.271284,150.000000,60.000000|226.686595,12.120760,150.000000,60.000000|227.191477,13.024247,150.000000,60.000000|227.161879,14.729752,150.000000,60.000000|227.137778,15.874286,150.000000,60.000000|227.118607,17.310212,150.000000,60.000000|227.103454,18.313309,150.000000,60.000000|227.091471,19.309155,150.000000,60.000000|227.081963,20.017787,150.000000,60.000000|227.074387,20.783889,150.000000,60.000000|227.068327,21.334989,150.000000,60.000000|227.063461,22.221364,150.000000,60.000000|227.059542,22.887398,150.000000,60.000000|226.817633,23.613494,150.000000,60.000000|226.613835,24.155704,150.000000,60.000000|226.443058,24.776123,150.000000,60.000000|226.301220,25.235988,150.000000,60.000000|226.184909,26.468060,150.000000,60.000000|225.865464,27.915631,150.000000,60.000000|225.820396,29.545248,150.000000,60.000000|225.791614,31.550923,150.000000,60.000000|225.776302,34.100113,150.000000,60.000000|225.548194,36.888287,150.000000,60.000000|225.356949,39.644935,150.000000,60.000000|224.752547,42.356276,150.000000,60.000000|224.011534,46.800864,150.000000,60.000000|223.604147,50.959929,150.000000,60.000000|223.272006,57.071686,150.000000,60.000000|223.007668,59.948339,150.000000,60.000000|222.579920,60.396527,150.000000,60.000000|222.232655,63.190971,150.000000,60.000000|221.957683,62.479394,150.000000,60.000000|221.970088,65.850572,150.000000,60.000000|221.786534,68.586640,150.000000,60.000000|221.651259,70.752403,150.000000,60.000000|221.557285,71.520481,150.000000,60.000000|221.498032,75.760917,150.000000,60.000000|221.467412,78.589006,150.000000,60.000000|221.683304,81.943352,150.000000,60.000000|221.665924,83.518703,150.000000,60.000000|222.109889,88.665372,150.000000,60.000000|221.839020,88.682191,150.000000,60.000000|221.829640,92.667969,150.000000,60.000000|221.605010,87.649465,150.000000,60.000000|221.638132,90.373688,150.000000,60.000000|221.898691,94.156573,150.000000,60.000000|221.686566,95.724909,150.000000,60.000000|221.503709,99.129379,150.000000,60.000000|221.348738,99.678046,150.000000,60.000000|220.996406,102.849311,150.000000,60.000000|221.142700,106.547386,150.000000,60.000000|221.281732,108.680812,150.000000,60.000000|221.411205,110.319701,150.000000,60.000000|221.306213,111.751696,150.000000,60.000000|221.217283,112.787444,150.000000,60.000000|221.143334,116.166909,150.000000,60.000000|221.306492,116.024938,150.000000,60.000000|221.454003,115.689619,150.000000,60.000000|221.808589,117.894253,150.000000,60.000000|221.895417,120.113799,150.000000,60.000000|221.967041,121.891960,150.000000,60.000000|222.248225,124.617517,150.000000,60.000000|222.265651,127.277623,150.000000,60.000000|222.049548,127.634407,150.000000,60.000000|222.300140,131.774818,150.000000,60.000000|222.739119,131.202530,150.000000,60.000000|223.116835,130.499814,150.000000,60.000000|223.436323,133.736598,150.000000,60.000000|223.701579,132.407221,150.000000,60.000000|223.693850,133.763217,150.000000,60.000000|223.892912,136.387934,150.000000,60.000000|224.051768,137.440688,150.000000,60.000000|224.174920,138.218884,150.000000,60.000000|224.043484,142.782887,150.000000,60.000000|224.583388,146.868303,150.000000,60.000000|225.043876,150.271646,150.000000,60.000000|224.536151,151.932370,150.000000,60.000000|224.965119,155.626122,150.000000,60.000000|224.435137,158.870909,150.000000,60.000000|225.296442,163.044048,150.000000,60.000000|225.596052,166.900937,150.000000,60.000000|224.947816,172.246957,150.000000,60.000000|225.256051,175.306497,150.000000,60.000000|225.517653,177.675174,150.000000,60.000000|224.618723,176.759869,150.000000,60.000000|225.160122,179.013056,150.000000,60.000000|225.633707,180.735584,150.000000,60.000000|226.041271,181.997419,150.000000,60.000000|226.386070,182.865891,150.000000,60.000000|226.672400,183.404380,150.000000,60.000000|226.905249,183.671415,150.000000,60.000000|227.089996,183.720106,150.000000,60.000000|227.232178,183.597854,150.000000,60.000000|227.337294,183.346294,150.000000,60.000000|227.410658,183.001405,150.000000,60.000000|227.457296,182.593762,150.000000,60.000000|227.481863,182.148879,150.000000,60.000000|227.488595,181.687620,150.000000,60.000000|227.481288,181.226653,150.000000,60.000000|227.463283,180.778909,150.000000,60.000000|227.437478,180.354063,150.000000,60.000000|227.406343,179.958980,150.000000,60.000000|227.371947,179.598153,150.000000,60.000000|227.335988,179.274104,150.000000,60.000000|227.299830,178.987756,150.000000,60.000000|227.264536,178.738762,150.000000,60.000000|227.230909,178.525800,150.000000,60.000000
313feac9-bc47-4730-9c12-d1872bf59ae0;396.000000,5.000000,150.000000,60.000000|396.990193,5.990193,150.000000,60.000000|397.535334,7.071895,150.000000,60.000000|396.881273,8.495628,150.000000,60.000000|396.421152,9.903898,150.000000,60.000000|396.562238,11.271284,150.000000,60.000000|396.686595,12.120760,150.000000,60.000000|397.191477,13.024247,150.000000,60.000000|397.161879,14.729752,150.000000,60.000000|397.137778,15.874286,150.000000,60.000000|397.118607,17.310212,150.000000,60.000000|397.103454,18.313309,150.000000,60.000000|397.091471,19.309155,150.000000,60.000000|397.081963,20.017787,150.000000,60.000000|397.074387,20.783889,150.000000,60.000000|397.068327,21.334989,150.000000,60.000000|397.063461,22.221364,150.000000,60.000000|397.059542,22.887398,150.000000,60.000000|396.817633,23.613494,150.000000,60.000000|396.613835,24.155704,150.000000,60.000000|396.443058,24.776123,150.000000,60.000000|396.301220,25.235988,150.000000,60.000000|396.184909,26.468060,150.000000,60.000000|395.865464,27.915631,150.000000,60.000000|395.820396,29.545248,150.000000,60.000000|395.791614,31.550923,150.000000,60.000000|395.776302,34.100113,150.000000,60.000000|395.548194,36.888287,150.000000,60.000000|395.356949,39.644935,150.000000,60.000000|394.752547,42.356276,150.000000,60.000000|394.011534,46.800864,150.000000,60.000000|393.604147,50.959929,150.000000,60.000000|393.272006,57.071686,150.000000,60.000000|393.007668,59.948339,150.000000,60.000000|392.579920,60.396527,150.000000,60.000000|392.232655,63.190971,150.000000,60.000000|391.957683,62.479394,150.000000,60.000000|391.970088,65.850572,150.000000,60.000000|391.786534,68.586640,150.000000,60.000000|391.651259,70.752403,150.000000,60.000000|391.557285,71.520481,150.000000,60.000000|391.498032,75.760917,150.000000,60.000000|391.467412,78.589006,150.000000,60.000000|391.683304,81.943352,150.000000,60.000000|391.665924,83.518703,150.000000,60.000000|392.109889,88.665372,150.000000,60.000000|391.839020,88.682191,150.000000,60.000000|391.829640,92.667969,150.000000,60.000000|391.605010,87.649465,150.000000,60.000000|391.638132,90.373688,150.000000,60.000000|391.898691,94.156573,150.000000,60.000000|391.686566,95.724909,150.000000,60.000000|391.503709,99.129379,150.000000,60.000000|391.348738,99.678046,150.000000,60.000000|390.996406,102.849311,150.000000,60.000000|391.142700,106.547386,150.000000,60.000000|391.281732,108.680812,150.000000,60.000000|391.411205,110.319701,150.000000,60.000000|391.306213,111.751696,150.000000,60.000000|391.217283,112.787444,150.000000,60.000000|391.143334,116.166909,150.000000,60.000000|391.306492,116.024938,150.000000,60.000000|391.454003,115.689619,150.000000,60.000000|391.808589,117.894253,150.000000,60.000000|391.895417,120.113799,150.000000,60.000000|391.967041,121.891960,150.000000,60.000000|392.248225,124.617517,150.000000,60.000000|392.265651,127.277623,150.000000,60.000000|392.049548,127.634407,150.000000,60.000000|392.300140,131.774818,150.000000,60.000000|392.739119,131.202530,150.000000,60.000000|393.116835,130.499814,150.000000,60.000000|393.436323,133.736598,150.000000,60.000000|393.701579,132.407221,150.000000,60.000000|393.693850,133.763217,150.000000,60.000000|393.892912,136.387934,150.000000,60.000000|394.051768,137.440688,150.000000,60.000000|394.174920,138.218884,150.000000,60.000000|394.043484,142.782887,150.000000,60.000000|394.583388,146.868303,150.000000,60.000000|395.043876,150.271646,150.000000,60.000000|394.536151,151.932370,150.000000,60.000000|394.965119,155.626122,150.000000,60.000000|394.435137,158.870909,150.000000,60.000000|395.296442,163.044048,150.000000,60.000000|395.596052,166.900937,150.000000,60.000000|394.947816,172.246957,150.000000,60.000000|395.256051,175.306497,150.000000,60.000000|395.517653,177.675174,150.000000,60.000000|394.618723,176.759869,150.000000,60.000000|395.160122,179.013056,150.000000,60.000000|395.633707,180.735584,150.000000,60.000000|396.041271,181.997419,150.000000,60.000000|396.386070,182.865891,150.000000,60.000000|396.672400,183.404380,150.000000,60.000000|396.905249,183.671415,150.000000,60.000000|397.089996,183.720106,150.000000,60.000000|397.232178,183.597854,150.000000,60.000000|397.337294,183.346294,150.000000,60.000000|397.410658,183.001405,150.000000,60.000000|397.457296,182.593762,150.000000,60.000000|397.481863,182.148879,150.000000,60.000000|397.488595,181.687620,150.000000,60.000000|397.481288,181.226653,150.000000,60.000000|397.463283,180.778909,150.000000,60.000000|397.437478,180.354063,150.000000,60.000000|397.406343,179.958980,150.000000,60.000000|397.371947,179.598153,150.000000,60.000000|397.335988,179.274104,150.000000,60.000000|397.299830,178.987756,150.000000,60.000000|397.264536,178.738762,150.000000,60.000000|397.230909,178.525800,150.000000,60.000000
911f4cf5-079f-43ff-a686-e065c08588b6;311.000000,5.000000,150.000000,60.000000|311.990193,5.990193,150.000000,60.000000|312.535334,7.071895,150.000000,60.000000|311.881273,8.495628,150.000000,60.000000|311.421152,9.903898,150.000000,60.000000|311.562238,11.271284,150.000000,60.000000|311.686595,12.120760,150.000000,60.000000|312.191477,13.024247,150.000000,60.000000|312.161879,14.729752,150.000000,60.000000|312.137778,15.874286,150.000000,60.000000|312.118607,17.310212,150.000000,60.000000|312.103454,18.313309,150.000000,60.000000|312.091471,19.309155,150.000000,60.000000|312.081963,20.017787,150.000000,60.000000|312.074387,20.783889,150.000000,60.000000|312.068327,21.334989,150.000000,60.000000|312.063461,22.221364,150.000000,60.000000|312.059542,22.887398,150.000000,60.000000|311.817633,23.613494,150.000000,60.000000|311.613835,24.155704,150.000000,60.000000|311.443058,24.776123,150.000000,60.000000|311.301220,25.235988,150.000000,60.000000|311.184909,26.468060,150.000000,60.000000|310.865464,27.915631,150.000000,60.000000|310.820396,29.545248,150.000000,60.000000|310.791614,31.550923,150.000000,60.000000|310.776302,34.100113,150.000000,60.000000|310.548194,36.888287,150.000000,60.000000|310.356949,39.644935,150.000000,60.000000|309.752547,42.356276,150.000000,60.000000|309.011534,46.800864,150.000000,60.000000|308.604147,50.959929,150.000000,60.000000|308.272006,57.071686,150.000000,60.000000|308.007668,59.948339,150.000000,60.000000|307.579920,60.396527,150.000000,60.000000|307.232655,63.190971,150.000000,60.000000|306.957683,62.479394,150.000000,60.000000|306.970088,65.850572,150.000000,60.000000|306.786534,68.586640,150.000000,60.000000|306.651259,70.752403,150.000000,60.000000|306.557285,71.520481,150.000000,60.000000|306.498032,75.760917,150.000000,60.000000|306.467412,78.589006,150.000000,60.000000|306.683304,81.943352,150.000000,60.000000|306.665924,83.518703,150.000000,60.000000|307.109889,88.665372,150.000000,60.000000|306.839020,88.682191,150.000000,60.000000|306.829640,92.667969,150.000000,60.000000|306.605010,87.649465,150.000000,60.000000|306.638132,90.373688,150.000000,60.000000|306.898691,94.156573,150.000000,60.000000|306.686566,95.724909,150.000000,60.000000|306.503709,99.129379,150.000000,60.000000|306.348738,99.678046,150.000000,60.000000|305.996406,102.849311,150.000000,60.000000|306.142700,106.547386,150.000000,60.000000|306.281732,108.680812,150.000000,60.000000|306.411205,110.319701,150.000000,60.000000|306.306213,111.751696,150.000000,60.000000|306.217283,112.787444,150.000000,60.000000|306.143334,116.166909,150.000000,60.000000|306.306492,116.024938,150.000000,60.000000|306.454003,115.689619,150.000000,60.000000|306.808589,117.894253,150.000000,60.000000|306.895417,120.113799,150.000000,60.000000|306.967041,121.891960,150.000000,60.000000|307.248225,124.617517,150.000000,60.000000|307.265651,127.277623,150.000000,60.000000|307.049548,127.634407,150.000000,60.000000|307.300140,131.774818,150.000000,60.000000|307.739119,131.202530,150.000000,60.000000|308.116835,130.499814,150.000000,60.000000|308.436323,133.736598,150.000000,60.000000|308.701579,132.407221,150.000000,60.000000|308.693850,133.763217,150.000000,60.000000|308.892912,136.387934,150.000000,60.000000|309.051768,137.440688,150.000000,60.000000|309.174920,138.218884,150.000000,60.000000|309.043484,142.782887,150.000000,60.000000|309.583388,146.868303,150.000000,60.000000|310.043876,150.271646,150.000000,60.000000|309.536151,151.932370,150.000000,60.000000|309.965119,155.626122,150.000000,60.000000|309.435137,158.870909,150.000000,60.000000|310.296442,163.044048,150.000000,60.000000|310.596052,166.900937,150.000000,60.000000|309.947816,172.246957,150.000000,60.000000|310.256051,175.306497,150.000000,60.000000|310.517653,177.675174,150.000000,60.000000|309.618723,176.759869,150.000000,60.000000|310.160122,179.013056,150.000000,60.000000|310.633707,180.735584,150.000000,60.000000|311.041271,181.997419,150.000000,60.000000|311.386070,182.865891,150.000000,60.000000|311.672400,183.404380,150.000000,60.000000|311.905249,183.671415,150.000000,60.000000|312.089996,183.720106,150.000000,60.000000|312.232178,183.597854,150.000000,60.000000|312.337294,183.346294,150.000000,60.000000|312.410658,183.001405,150.000000,60.000000|312.457296,182.593762,150.000000,60.000000|312.481863,182.148879,150.000000,60.000000|312.488595,181.687620,150.000000,60.000000|312.481288,181.226653,150.000000,60.000000|312.463283,180.778909,150.000000,60.000000|312.437478,180.354063,150.000000,60.000000|312.406343,179.958980,150.000000,60.000000|312.371947,179.598153,150.000000,60.000000|312.335988,179.274104,150.000000,60.000000|312.299830,178.987756,150.000000,60.000000|312.264536,178.738762,150.000000,60.000000|312.230909,178.525800,150.000000,60.000000
