id;track
0956471b-ee5c-42b4-92f5-c6b4769c6cbd;183.500000,141.000000,239.919437,329.031349|184.985274,145.950839,239.919437,329.031349|185.802069,148.132653,239.919437,329.031349|183.907537,149.847790,239.919437,329.031349|181.233609,149.850466,239.919437,329.031349|178.734544,148.622409,239.919437,329.031349|176.496449,165.867537,239.919437,329.031349|172.448737,177.035322,239.919437,329.031349|167.674030,184.619721,239.919437,329.031349|139.082018,228.543883,239.919437,329.031349|134.574114,250.577996,239.919437,329.031349|130.255655,263.640982,239.919437,329.031349|127.252532,271.998220,239.919437,329.031349|124.496325,278.907495,239.919437,329.031349
d646a213-6574-4aa4-8419-6ac18e714b90;432.500000,29.000000,154.115988,107.408895|433.985180,27.019779,154.115988,107.408895|433.727432,27.812544,154.115988,107.408895|434.062690,28.414910,154.115988,107.408895|434.524344,29.492079,154.115988,107.408895|435.065588,30.890034,154.115988,107.408895|435.200776,32.010961,154.115988,107.408895|434.858985,32.708982,154.115988,107.408895|434.988828,33.895913,154.115988,107.408895|435.355192,40.199483,154.115988,107.408895|435.687957,43.560490,154.115988,107.408895|435.743248,45.453295,154.115988,107.408895|435.781809,47.077214,154.115988,107.408895|435.948411,48.097233,154.115988,107.408895|435.806217,48.681484,154.115988,107.408895
d2777107-8ece-410d-9dca-3229d94c9eca;772.000000,224.500000,293.312445,321.002769|772.990469,224.500124,293.312445,321.002769|772.195209,225.578774,293.312445,321.002769|775.247668,226.315997,293.312445,321.002769|776.449317,241.705677,293.312445,321.002769|778.974435,252.766930,293.312445,321.002769|781.688886,260.465317,293.312445,321.002769|783.219314,266.151348,293.312445,321.002769|785.110277,268.627950,293.312445,321.002769|785.805579,271.577908,293.312445,321.002769|785.377702,272.550347,293.312445,321.002769|786.399140,273.779744,293.312445,321.002769|786.216920,275.065889,293.312445,321.002769
102bd861-f929-4c32-a805-a302c4af6666;464.500000,268.500000,260.410946,211.478631|464.004951,273.450581,260.410946,211.478631|464.003043,278.036284,260.410946,211.478631|464.230913,286.350038,260.410946,211.478631|464.162218,294.010330,260.410946,211.478631|465.897375,303.495010,260.410946,211.478631|467.308316,314.497749,260.410946,211.478631|466.592426,329.463501,260.410946,211.478631|465.855493,340.809821,260.410946,211.478631|466.565291,349.866184,260.410946,211.478631|468.071886,359.731017,260.410946,211.478631|468.854037,368.570750,260.410946,211.478631|468.825075,379.069889,260.410946,211.478631|468.775620,388.647189,260.410946,211.478631|468.307459,398.347595,260.410946,211.478631|468.560606,408.011484,260.410946,211.478631|468.624432,415.762559,260.410946,211.478631|469.025979,424.188056,260.410946,211.478631|469.702158,432.449920,260.410946,211.478631|470.252498,439.876711,260.410946,211.478631|471.042259,446.147190,260.410946,211.478631|471.804332,451.792390,260.410946,211.478631|473.106860,456.014433,260.410946,211.478631
