id;track
47a3c463-0a9d-4dde-b50c-b7edecbd12e5;307.000000,94.000000|307.990123,100.930811|306.925635,97.223448|306.424915,100.032976|306.101678,97.519032|305.462788,101.505580|305.919574,106.476751|306.266212,108.169195|306.517856,109.206323|306.340953,110.185572|306.213962,110.801645|306.122439,114.956035|306.353821,114.152431|306.535502,113.438609|306.949610,116.040568|307.020740,118.574446|307.074740,120.549566|307.359304,123.542159|307.353471,126.403898|307.107201,126.807446|307.353806,131.160062|307.790519,130.627929|308.161075,129.991568|308.471670,133.348650|308.728024,132.086040|308.711343,133.521686|308.903814,136.217789|309.057157,137.327026|309.175849,138.152231|309.040748,142.757541|309.578334,146.875245|310.037127,150.303113|309.527690,151.980995|309.956099,155.687916|309.425375,158.940989|310.287148,163.119125|310.587092,166.977610|309.938937,172.323355|310.247886,175.379554|310.510246,177.743357|309.611805,176.821524|310.154121,179.068733|310.628555,180.784977|311.036901,182.040514|311.382415,182.902881|311.669397,183.435601|311.902832,183.697295|312.088101,183.741126|312.230741,183.614522|312.336253,183.359122|312.409955,183.010896|312.456875,182.600398|312.481673,182.153113|312.488590,181.689871|312.481427,181.227300|312.463530,180.778293|312.437801,180.352483|312.406717,179.956696|312.372350,179.595386|312.336402,179.271040|312.300240,178.984548|312.264932,178.735534|312.231283,178.522646
ba11410a-5f76-479e-bf37-b80a32043e87;392.000000,94.000000|392.990123,100.930811|391.925635,97.223448|391.424915,100.032976|391.101678,97.519032|390.462788,101.505580|390.919574,106.476751|391.266212,108.169195|391.517856,109.206323|391.340953,110.185572|391.213962,110.801645|391.122439,114.956035|391.353821,114.152431|391.535502,113.438609|391.949610,116.040568|392.020740,118.574446|392.074740,120.549566|392.359304,123.542159|392.353471,126.403898|392.107201,126.807446|392.353806,131.160062|392.790519,130.627929|393.161075,129.991568|393.471670,133.348650|393.728024,132.086040|393.711343,133.521686|393.903814,136.217789|394.057157,137.327026|394.175849,138.152231|394.040748,142.757541|394.578334,146.875245|395.037127,150.303113|394.527690,151.980995|394.956099,155.687916|394.425375,158.940989|395.287148,163.119125|395.587092,166.977610|394.938937,172.323355|395.247886,175.379554|395.510246,177.743357|394.611805,176.821524|395.154121,179.068733|395.628555,180.784977|396.036901,182.040514|396.382415,182.902881|396.669397,183.435601|396.902832,183.697295|397.088101,183.741126|397.230741,183.614522|397.336253,183.359122|397.409955,183.010896|397.456875,182.600398|397.481673,182.153113|397.488590,181.689871|397.481427,181.227300|397.463530,180.778293|397.437801,180.352483|397.406717,179.956696|397.372350,179.595386|397.336402,179.271040|397.300240,178.984548|397.264932,178.735534|397.231283,178.522646
2b1ccc90-7b86-415a-84f5-980b0b6c40d9;222.000000,94.000000|222.990123,100.930811|221.925635,97.223448|221.424915,100.032976|221.101678,97.519032|220.462788,101.505580|220.919574,106.476751|221.266212,108.169195|221.517856,109.206323|221.340953,110.185572|221.213962,110.801645|221.122439,114.956035|221.353821,114.152431|221.535502,113.438609|221.949610,116.040568|222.020740,118.574446|222.074740,120.549566|222.359304,123.542159|222.353471,126.403898|222.107201,126.807446|222.353806,131.160062|222.790519,130.627929|223.161075,129.991568|223.471670,133.348650|223.728024,132.086040|223.711343,133.521686|223.903814,136.217789|224.057157,137.327026|224.175849,138.152231|224.040748,142.757541|224.578334,146.875245|225.037127,150.303113|224.527690,151.980995|224.956099,155.687916|224.425375,158.940989|225.287148,163.119125|225.587092,166.977610|224.938937,172.323355|225.247886,175.379554|225.510246,177.743357|224.611805,176.821524|225.154121,179.068733|225.628555,180.784977|226.036901,182.040514|226.382415,182.902881|226.669397,183.435601|226.902832,183.697295|227.088101,183.741126|227.230741,183.614522|227.336253,183.359122|227.409955,183.010896|227.456875,182.600398|227.481673,182.153113|227.488590,181.689871|227.481427,181.227300|227.463530,180.778293|227.437801,180.352483|227.406717,179.956696|227.372350,179.595386|227.336402,179.271040|227.300240,178.984548|227.264932,178.735534|227.231283,178.522646
